Patient,Cohort,baseline_d1,run_002_v2,v5_realPD,v5_mixed,v7_realPD,v7_mixed,v8_baseline,v8_pseudoPD,v8_realPD,v8_mixed
AC0D5A4D78B628,D1,0.0,0.6013,0.7299,0.7299,0.37,0.7093,0.0,0.6013,0.37,0.7093
AC0D7BF72F7712,D1,0.0,0.6962,0.7618,0.7618,0.4866,0.7771,0.0,0.6962,0.4866,0.7771
AC0D3459553205,D1,0.0,0.659,0.7271,0.7271,0.409,0.725,0.0,0.659,0.409,0.725
AC14D3737C0482,D1,0.0002,0.6375,0.7574,0.7574,0.4806,0.7906,0.0002,0.6375,0.4806,0.7906
AC19E7C19827FF,D1,0.0,0.7052,0.7878,0.7878,0.5616,0.8025,0.0,0.7052,0.5616,0.8025
AC149BC218E75C,D1,0.0,0.7134,0.7944,0.7944,0.4558,0.8009,0.0,0.7134,0.4558,0.8009
AC111633B463BB,D1,0.0,0.7449,0.8231,0.8231,0.5169,0.8094,0.0,0.7449,0.5169,0.8094
AC13300201B926,D1,0.0,0.726,0.7398,0.7398,0.4466,0.7626,0.0,0.726,0.4466,0.7626
AC12026D14291F,D1,0.0014,0.7272,0.7563,0.7563,0.5073,0.7862,0.0014,0.7272,0.5073,0.7862
AC13637DA25399,D1,0.0,0.7415,0.8156,0.8156,0.5223,0.8084,0.0,0.7415,0.5223,0.8084
AC000550763509,new,,,,,,,0.0,0.7351,0.4466,0.8085
AC005135D3495B,new,,,,,,,0.0,0.726,0.4671,0.8225
AC04433E37DB66,new,,,,,,,0.0028,0.6727,0.4562,0.7276
AC056ADCE8BE28,new,,,,,,,0.0,0.5577,0.4165,0.685
AC07607B9E5295,new,,,,,,,0.0,0.6713,0.5517,0.8428
AC0D1A9818A6FC,new,,,,,,,0.0,0.6287,0.4917,0.8167
AC0F11041F5180,new,,,,,,,0.0,0.7345,0.4982,0.8056
