epoch,lr,loss_tr,loss_va,dice_real_tr,dice_real_va,gap,dice_fake_tr,dice_fake_va,dice_va_perpatient_mean,dice_va_AC0CE315D5758B,dice_va_AC0CEE9C24F2B7
0,1.000e-05,2.44360,2.17342,0.31911,0.34463,-0.02553,0.42817,0.49289,0.39421,0.38512,0.40330
1,9.990e-06,1.96388,1.83342,0.53774,0.43950,+0.09823,0.62426,0.59980,0.51221,0.49999,0.52444
2,9.961e-06,1.34329,1.34309,0.74513,0.73672,+0.00841,0.74389,0.73228,0.70913,0.70241,0.71584
3,9.912e-06,0.67882,1.14273,0.85764,0.78334,+0.07430,0.81112,0.74702,0.76536,0.76274,0.76797
4,9.843e-06,0.46102,1.06353,0.88348,0.79206,+0.09142,0.82967,0.76007,0.77134,0.76613,0.77655
5,9.756e-06,0.37841,1.06854,0.89727,0.79463,+0.10265,0.84060,0.75758,0.77655,0.76666,0.78645
6,9.649e-06,0.34425,1.05460,0.89872,0.79616,+0.10256,0.84751,0.76015,0.77761,0.76683,0.78838
7,9.525e-06,0.31745,1.03656,0.90962,0.80161,+0.10801,0.85349,0.76239,0.78279,0.77389,0.79169
8,9.382e-06,0.29619,1.04869,0.91497,0.80027,+0.11470,0.85800,0.76061,0.78227,0.78133,0.78321
9,9.222e-06,0.28926,1.03839,0.91934,0.79450,+0.12484,0.86229,0.77074,0.77412,0.77141,0.77682
10,9.046e-06,0.27472,1.01488,0.92326,0.80032,+0.12294,0.86621,0.77430,0.78047,0.77201,0.78893
11,8.854e-06,0.26332,1.02009,0.92599,0.79515,+0.13084,0.87017,0.76654,0.77454,0.76742,0.78166
12,8.646e-06,0.25580,1.01035,0.92971,0.80674,+0.12297,0.87189,0.77149,0.78708,0.77733,0.79683
13,8.424e-06,0.24977,1.03056,0.93036,0.80296,+0.12740,0.87449,0.77076,0.78119,0.77530,0.78708
14,8.189e-06,0.25011,1.02962,0.93246,0.80523,+0.12723,0.87716,0.76896,0.78506,0.78001,0.79011
15,7.941e-06,0.23803,1.04176,0.93623,0.80296,+0.13327,0.88014,0.76812,0.78354,0.77231,0.79477
16,7.681e-06,0.23183,1.03679,0.93679,0.80448,+0.13231,0.88232,0.76862,0.78568,0.77916,0.79219
17,7.411e-06,0.22488,1.03147,0.94014,0.80500,+0.13513,0.88448,0.77124,0.78548,0.77730,0.79366
18,7.132e-06,0.21807,1.01885,0.94072,0.79846,+0.14226,0.88641,0.77395,0.77691,0.77415,0.77966
19,6.844e-06,0.22130,1.04480,0.94182,0.79984,+0.14198,0.88888,0.77097,0.77982,0.77101,0.78863
20,6.549e-06,0.21818,1.04152,0.94385,0.80331,+0.14053,0.89018,0.77503,0.78375,0.77297,0.79453
21,6.247e-06,0.21150,1.04883,0.94521,0.80006,+0.14515,0.89206,0.76799,0.78008,0.77527,0.78488
22,5.941e-06,0.20646,1.05085,0.94693,0.79885,+0.14809,0.89335,0.77186,0.77719,0.77454,0.77985
