epoch,lr,loss_tr,loss_va,dice_real_tr,dice_real_va,gap,dice_fake_tr,dice_fake_va,dice_va_perpatient_mean,dice_va_AC0CE315D5758B,dice_va_AC0CEE9C24F2B7
0,1.000e-05,2.46818,2.21216,0.20844,0.27604,-0.06760,0.28258,0.40388,0.30614,0.28892,0.32335
1,9.990e-06,2.08265,2.01371,0.42877,0.46528,-0.03651,0.53780,0.51425,0.38719,0.36620,0.40818
2,9.961e-06,1.77567,1.72212,0.58189,0.63733,-0.05544,0.64582,0.61571,0.59645,0.56365,0.62925
3,9.912e-06,0.97308,1.32958,0.81580,0.76577,+0.05003,0.77941,0.67850,0.73618,0.74448,0.72789
4,9.843e-06,0.53018,1.23438,0.88076,0.77603,+0.10473,0.81321,0.68971,0.74804,0.76132,0.73475
5,9.756e-06,0.40584,1.20562,0.89422,0.77121,+0.12302,0.82490,0.68318,0.74214,0.75200,0.73228
6,9.649e-06,0.34837,1.19282,0.90505,0.77715,+0.12790,0.83399,0.69205,0.74619,0.76335,0.72904
7,9.525e-06,0.31768,1.19179,0.91154,0.77381,+0.13773,0.84104,0.69875,0.74640,0.75613,0.73666
8,9.382e-06,0.30426,1.18605,0.91629,0.77877,+0.13752,0.84648,0.68835,0.75155,0.76554,0.73757
9,9.222e-06,0.28717,1.19278,0.92158,0.77451,+0.14707,0.85138,0.68303,0.74826,0.76867,0.72786
10,9.046e-06,0.26993,1.18520,0.92494,0.78182,+0.14312,0.85565,0.68876,0.75655,0.77672,0.73637
11,8.854e-06,0.26579,1.19211,0.92757,0.77018,+0.15739,0.85984,0.68880,0.74531,0.75572,0.73489
12,8.646e-06,0.25732,1.18905,0.93031,0.77418,+0.15612,0.86349,0.69679,0.74957,0.76491,0.73423
13,8.424e-06,0.25050,1.18265,0.93083,0.78018,+0.15065,0.86556,0.69457,0.75642,0.76703,0.74582
14,8.189e-06,0.24463,1.18793,0.93269,0.77767,+0.15502,0.86884,0.69319,0.75255,0.76023,0.74488
15,7.941e-06,0.23611,1.17715,0.93629,0.78990,+0.14639,0.87254,0.70621,0.76587,0.77216,0.75959
16,7.681e-06,0.23006,1.17803,0.93888,0.78667,+0.15221,0.87413,0.69500,0.76271,0.76740,0.75803
17,7.411e-06,0.22217,1.18029,0.94019,0.78865,+0.15154,0.87705,0.69494,0.76375,0.77205,0.75545
18,7.132e-06,0.22462,1.17861,0.94166,0.78555,+0.15611,0.87830,0.69505,0.75934,0.76357,0.75510
19,6.844e-06,0.21889,1.18092,0.94439,0.78604,+0.15835,0.88041,0.70152,0.76118,0.76688,0.75547
20,6.549e-06,0.21848,1.18408,0.94460,0.78234,+0.16225,0.88170,0.70285,0.75787,0.76148,0.75427
21,6.247e-06,0.21619,1.18744,0.94581,0.78180,+0.16402,0.88354,0.69742,0.75755,0.75892,0.75618
22,5.941e-06,0.20890,1.18619,0.94759,0.78450,+0.16309,0.88545,0.69766,0.76181,0.76231,0.76131
23,5.631e-06,0.20945,1.18437,0.94718,0.78601,+0.16117,0.88737,0.70842,0.76318,0.76747,0.75889
24,5.319e-06,0.20516,1.18426,0.95012,0.78462,+0.16550,0.88772,0.69948,0.76057,0.76654,0.75459
25,5.005e-06,0.20262,1.18332,0.94987,0.78726,+0.16261,0.88956,0.69871,0.76384,0.76883,0.75884
