epoch,lr,loss_tr,loss_va,dice_real_tr,dice_real_va,gap,dice_fake_tr,dice_fake_va,dice_va_perpatient_mean,dice_va_AC0CE315D5758B,dice_va_AC0CEE9C24F2B7
0,1.000e-05,2.55823,2.24853,0.14293,0.29431,-0.15138,0.19833,0.37469,0.33214,0.30416,0.36012
1,9.990e-06,2.10777,2.00763,0.40036,0.46368,-0.06332,0.49700,0.47113,0.39253,0.36746,0.41760
2,9.961e-06,1.79942,1.63552,0.57538,0.67294,-0.09756,0.61332,0.66784,0.64448,0.60632,0.68265
3,9.912e-06,0.99958,1.16353,0.81273,0.76185,+0.05087,0.76883,0.73350,0.74685,0.71922,0.77449
4,9.843e-06,0.54049,1.05761,0.87696,0.76474,+0.11222,0.80723,0.74866,0.74474,0.72347,0.76601
5,9.756e-06,0.41372,1.01379,0.89253,0.77848,+0.11405,0.82158,0.75558,0.75449,0.73525,0.77373
6,9.649e-06,0.35586,1.00446,0.90123,0.77355,+0.12768,0.83167,0.75704,0.74994,0.73917,0.76072
7,9.525e-06,0.32497,1.00522,0.90821,0.77246,+0.13575,0.83884,0.75976,0.74582,0.73695,0.75468
8,9.382e-06,0.30677,1.00591,0.91476,0.77164,+0.14313,0.84507,0.75969,0.74583,0.73342,0.75824
9,9.222e-06,0.28399,1.00524,0.91922,0.77815,+0.14108,0.85106,0.75981,0.75245,0.74257,0.76232
10,9.046e-06,0.27445,0.99393,0.92357,0.78299,+0.14058,0.85603,0.76182,0.75793,0.75225,0.76361
11,8.854e-06,0.26909,1.00279,0.92628,0.78041,+0.14587,0.85950,0.76006,0.75608,0.74990,0.76225
12,8.646e-06,0.25699,1.00016,0.92669,0.78597,+0.14072,0.86339,0.75965,0.76228,0.75133,0.77322
13,8.424e-06,0.25108,1.00135,0.93139,0.76818,+0.16321,0.86650,0.76837,0.74356,0.73619,0.75093
14,8.189e-06,0.24368,0.99833,0.93523,0.77499,+0.16024,0.86947,0.76630,0.74900,0.74471,0.75330
15,7.941e-06,0.23165,1.00375,0.93673,0.77821,+0.15852,0.87268,0.76450,0.75513,0.74325,0.76701
16,7.681e-06,0.23169,1.00754,0.93735,0.77322,+0.16412,0.87509,0.76488,0.74849,0.74543,0.75155
17,7.411e-06,0.23176,1.01497,0.93806,0.77284,+0.16522,0.87812,0.76290,0.74809,0.74029,0.75590
18,7.132e-06,0.22414,1.01415,0.94196,0.77325,+0.16870,0.88004,0.76089,0.74960,0.74190,0.75731
19,6.844e-06,0.21738,1.01118,0.94181,0.77564,+0.16617,0.88183,0.76280,0.75282,0.74261,0.76304
20,6.549e-06,0.21769,1.01048,0.94427,0.77830,+0.16598,0.88444,0.76208,0.75509,0.74670,0.76347
21,6.247e-06,0.20840,1.01667,0.94450,0.77582,+0.16868,0.88628,0.76071,0.75304,0.74542,0.76067
22,5.941e-06,0.20973,1.01034,0.94664,0.77713,+0.16952,0.88722,0.76296,0.75331,0.74702,0.75959
