epoch,lr,loss_tr,loss_va,dice_real_tr,dice_real_va,gap,dice_fake_tr,dice_fake_va,dice_va_perpatient_mean,dice_va_AC0CE315D5758B,dice_va_AC0CEE9C24F2B7
0,1.000e-05,2.45458,2.20179,0.25350,0.43530,-0.18181,0.33446,0.43340,0.35640,0.32984,0.38297
1,9.990e-06,2.06802,1.97506,0.46168,0.48283,-0.02115,0.54852,0.48654,0.41710,0.37836,0.45585
2,9.961e-06,1.73739,1.57877,0.61657,0.69579,-0.07922,0.65618,0.68285,0.66444,0.62749,0.70139
3,9.912e-06,0.93163,1.15001,0.82478,0.76049,+0.06429,0.78992,0.74118,0.73514,0.73077,0.73950
4,9.843e-06,0.50300,1.04866,0.87842,0.76533,+0.11309,0.82430,0.74960,0.74066,0.74475,0.73657
5,9.756e-06,0.38173,1.01753,0.89852,0.78230,+0.11623,0.83740,0.75359,0.75656,0.76096,0.75216
6,9.649e-06,0.33420,0.99800,0.90598,0.78510,+0.12088,0.84669,0.75244,0.76096,0.76990,0.75202
7,9.525e-06,0.30385,0.99667,0.91058,0.77933,+0.13125,0.85332,0.75589,0.75280,0.75663,0.74897
8,9.382e-06,0.28059,0.99177,0.91810,0.78401,+0.13409,0.85888,0.75862,0.75821,0.75977,0.75666
9,9.222e-06,0.27125,0.99469,0.92261,0.78003,+0.14258,0.86385,0.75984,0.75566,0.76442,0.74690
10,9.046e-06,0.25704,0.99468,0.92678,0.77843,+0.14834,0.86757,0.76365,0.75464,0.76449,0.74479
11,8.854e-06,0.24370,0.98268,0.92846,0.78792,+0.14053,0.87281,0.76456,0.76440,0.77105,0.75776
12,8.646e-06,0.23393,0.99731,0.93375,0.78282,+0.15094,0.87595,0.75785,0.75955,0.76715,0.75195
13,8.424e-06,0.22888,0.99222,0.93433,0.78477,+0.14956,0.87776,0.76188,0.76181,0.77261,0.75101
14,8.189e-06,0.22939,0.99435,0.93728,0.78942,+0.14786,0.88078,0.75904,0.76946,0.77373,0.76520
15,7.941e-06,0.21837,0.99784,0.93911,0.78525,+0.15386,0.88383,0.76102,0.76077,0.76596,0.75558
16,7.681e-06,0.21023,1.00077,0.94209,0.78420,+0.15789,0.88655,0.75991,0.76043,0.76925,0.75161
17,7.411e-06,0.20474,0.99344,0.94469,0.78706,+0.15763,0.88826,0.76340,0.76286,0.77253,0.75320
18,7.132e-06,0.19734,0.99535,0.94577,0.78995,+0.15582,0.89029,0.75892,0.76752,0.77769,0.75734
19,6.844e-06,0.20190,0.99623,0.94734,0.79494,+0.15240,0.89235,0.75933,0.77323,0.77579,0.77067
20,6.549e-06,0.19814,0.99559,0.94854,0.78866,+0.15988,0.89386,0.76295,0.76470,0.77758,0.75182
21,6.247e-06,0.19179,1.00178,0.95077,0.79228,+0.15849,0.89578,0.75983,0.76923,0.77647,0.76199
22,5.941e-06,0.18636,1.00122,0.95131,0.78825,+0.16306,0.89723,0.76231,0.76370,0.77434,0.75306
23,5.631e-06,0.18578,1.00409,0.95191,0.78958,+0.16233,0.89892,0.75950,0.76635,0.77376,0.75894
24,5.319e-06,0.18438,1.00859,0.95419,0.78993,+0.16426,0.90002,0.75776,0.76553,0.77326,0.75780
25,5.005e-06,0.18342,1.00515,0.95463,0.78931,+0.16532,0.90174,0.75873,0.76507,0.77533,0.75480
26,4.691e-06,0.17710,1.01040,0.95547,0.78935,+0.16611,0.90255,0.75776,0.76656,0.77285,0.76027
27,4.379e-06,0.17306,1.00831,0.95627,0.79080,+0.16547,0.90393,0.76062,0.76758,0.77365,0.76152
28,4.069e-06,0.17007,1.01413,0.95745,0.79051,+0.16694,0.90513,0.75873,0.76735,0.77728,0.75742
29,3.763e-06,0.17519,1.00871,0.95916,0.79295,+0.16621,0.90605,0.75937,0.76984,0.78024,0.75943
